user_id,true_label,risk_score,predicted_blacklist,risk_level,data_source
953899,,0.991621427,1,極高風險,predict
954324,1,0.99084619,1,極高風險,train
981642,1,0.989951915,1,極高風險,train
996815,1,0.989919115,1,極高風險,train
890963,1,0.989603784,1,極高風險,train
963218,1,0.989504047,1,極高風險,train
938216,1,0.989312027,1,極高風險,train
988994,1,0.989309917,1,極高風險,train
978160,1,0.989078806,1,極高風險,train
874894,1,0.988156925,1,極高風險,train
953953,1,0.987908042,1,極高風險,train
966993,1,0.987850348,1,極高風險,train
957951,1,0.98765893,1,極高風險,train
928967,1,0.987444035,1,極高風險,train
972013,1,0.987194856,1,極高風險,train
555058,1,0.987063985,1,極高風險,train
970279,1,0.986685914,1,極高風險,train
960893,1,0.986662168,1,極高風險,train
994452,1,0.986647155,1,極高風險,train
976638,1,0.986371161,1,極高風險,train
818343,1,0.986319006,1,極高風險,train
581260,1,0.986101543,1,極高風險,train
933419,,0.986056698,1,極高風險,predict
995573,1,0.98605553,1,極高風險,train
986520,1,0.986020234,1,極高風險,train
753062,1,0.985963701,1,極高風險,train
855096,1,0.98571906,1,極高風險,train
895819,1,0.985695903,1,極高風險,train
991509,1,0.985517966,1,極高風險,train
875906,1,0.985456757,1,極高風險,train
996735,1,0.985352709,1,極高風險,train
963851,1,0.985340817,1,極高風險,train
598391,1,0.985288204,1,極高風險,train
992146,,0.985198708,1,極高風險,predict
923714,1,0.985102883,1,極高風險,train
995880,1,0.98509745,1,極高風險,train
988234,1,0.985062421,1,極高風險,train
993557,1,0.98473691,1,極高風險,train
943056,1,0.984688445,1,極高風險,train
966101,0,0.984654543,1,極高風險,train
895601,1,0.984433306,1,極高風險,train
909735,1,0.984390439,1,極高風險,train
998156,1,0.984263206,1,極高風險,train
959954,,0.984175811,1,極高風險,predict
972630,1,0.984159009,1,極高風險,train
459773,1,0.984157539,1,極高風險,train
903707,,0.984096832,1,極高風險,predict
991354,1,0.984050992,1,極高風險,train
772801,1,0.983963136,1,極高風險,train
905007,1,0.983863568,1,極高風險,train
945471,1,0.983814097,1,極高風險,train
923396,1,0.98378107,1,極高風險,train
974198,1,0.983675142,1,極高風險,train
940550,1,0.983660451,1,極高風險,train
979056,1,0.983616023,1,極高風險,train
889196,1,0.98360179,1,極高風險,train
983423,1,0.983561198,1,極高風險,train
532385,1,0.98335243,1,極高風險,train
967121,1,0.983335479,1,極高風險,train
820479,1,0.983294051,1,極高風險,train
432770,1,0.983281421,1,極高風險,train
885698,1,0.983204502,1,極高風險,train
992155,1,0.983043608,1,極高風險,train
931616,,0.98303443,1,極高風險,predict
931810,1,0.982993362,1,極高風險,train
990011,1,0.982789719,1,極高風險,train
974993,1,0.982598193,1,極高風險,train
949217,1,0.982521922,1,極高風險,train
998131,1,0.982459223,1,極高風險,train
817494,1,0.982447833,1,極高風險,train
995828,1,0.982424988,1,極高風險,train
990136,1,0.982383122,1,極高風險,train
954202,1,0.982341364,1,極高風險,train
971128,1,0.982144925,1,極高風險,train
978191,1,0.982114099,1,極高風險,train
933119,1,0.982043551,1,極高風險,train
974313,1,0.982018241,1,極高風險,train
999446,,0.981938113,1,極高風險,predict
914552,,0.981732011,1,極高風險,predict
975487,,0.981709841,1,極高風險,predict
977631,1,0.98169903,1,極高風險,train
973267,1,0.981631255,1,極高風險,train
221685,1,0.981499285,1,極高風險,train
963359,1,0.981451195,1,極高風險,train
927761,,0.98141063,1,極高風險,predict
982423,1,0.981395649,1,極高風險,train
825786,,0.981361754,1,極高風險,predict
933301,1,0.981343207,1,極高風險,train
968705,1,0.981310147,1,極高風險,train
712214,1,0.981295013,1,極高風險,train
713471,1,0.981277592,1,極高風險,train
909637,1,0.981254143,1,極高風險,train
958517,1,0.981242973,1,極高風險,train
868058,1,0.981213846,1,極高風險,train
989159,1,0.981095163,1,極高風險,train
988910,1,0.981002331,1,極高風險,train
971465,,0.980975921,1,極高風險,predict
931491,1,0.980897527,1,極高風險,train
885743,1,0.980800598,1,極高風險,train
58796,1,0.980563581,1,極高風險,train
915340,1,0.980448371,1,極高風險,train
966370,0,0.980291953,1,極高風險,train
866034,1,0.980223456,1,極高風險,train
972594,1,0.980129811,1,極高風險,train
987559,1,0.980129399,1,極高風險,train
990256,1,0.980022116,1,極高風險,train
972946,,0.979806068,1,極高風險,predict
