node_id,node_type,risk_score,label
user_4,user,0.1520871858887657,0.0
user_393228,user,0.506716634192461,0.0
user_917517,user,0.741728087327518,0.0
user_917519,user,0.2001689463159453,0.0
user_786452,user,0.2803414032394996,0.0
user_524310,user,0.160803941671284,0.0
user_655382,user,0.1877218858462083,0.0
user_655385,user,0.4655761131951306,0.0
user_786458,user,0.1278702384876239,0.0
user_524319,user,0.2328946023407292,0.0
user_393249,user,0.3291474904479872,0.0
user_917537,user,0.4806318382162985,0.0
user_37,user,0.1940863306803726,0.0
user_786472,user,0.1627306162051984,0.0
user_41,user,0.113425286262543,0.0
user_131117,user,0.5368825415435301,0.0
user_524336,user,0.1803835678412204,0.0
user_786481,user,0.1754798222618621,0.0
user_131125,user,0.1531439748862972,0.0
user_917563,user,0.2171338790292435,0.0
user_917564,user,0.1524461510383954,0.0
user_917575,user,0.3131090806592646,0.0
user_655434,user,0.4611725473325579,0.0
user_786509,user,0.1747434477803985,0.0
user_917585,user,0.3644854995676759,0.0
user_917588,user,0.3757505615939615,0.0
user_917591,user,0.1772249309849617,0.0
user_87,user,0.2229333421488671,0.0
user_655450,user,0.2431985686892468,0.0
user_786527,user,0.177505329176393,0.0
user_262242,user,0.1698641192716877,0.0
user_131183,user,0.1869118342116496,0.0
user_112,user,0.1752426756976225,0.0
user_655481,user,0.4033200716170393,0.0
user_524409,user,0.2832386827780702,0.0
user_786554,user,0.1766383103160494,0.0
user_131195,user,0.2403238616757213,0.0
user_917632,user,0.8708886991537242,0.0
user_262273,user,0.3914944434928318,0.0
user_131,user,0.1464169332531204,0.0
user_524420,user,0.1668818910106436,0.0
user_134,user,0.2273336368616414,0.0
user_131206,user,0.2878493769141987,0.0
user_917642,user,0.2905278517400658,0.0
user_655498,user,0.2773153926839092,0.0
user_140,user,0.1923642540505555,0.0
user_917646,user,0.6566971431596733,0.0
user_917647,user,0.28764425123162,0.0
user_786577,user,0.2318137858834753,0.0
user_146,user,0.1638802676493729,0.0
user_917650,user,0.2525265568586283,0.0
user_917652,user,0.1801303620597035,0.0
user_524440,user,0.2419271205926146,0.0
user_786585,user,0.2483077736031101,0.0
user_131228,user,0.2790698969911279,0.0
user_131230,user,0.5586852374646005,0.0
user_158,user,0.1377119684653666,0.0
user_159,user,0.1428085178928215,0.0
user_917667,user,0.7779262540437708,0.0
user_393382,user,0.5046362242970984,0.0
user_167,user,0.242193981895319,0.0
user_917678,user,0.8192465824556967,0.0
user_262321,user,0.2994290815878931,0.0
user_917697,user,0.1972201271993594,0.0
user_655562,user,0.7187506486456396,0.0
user_655564,user,0.1776505243745333,0.0
user_210,user,0.2023149513201646,0.0
user_524503,user,0.2077157277301231,0.0
user_216,user,0.2108313727160367,0.0
user_786649,user,0.2497923631534348,0.0
user_917726,user,0.925783969380702,0.0
user_917731,user,0.6684025762259332,0.0
user_917735,user,0.2876440193733368,0.0
user_393451,user,0.1155543084169734,0.0
user_235,user,0.1328684487251384,0.0
user_917743,user,0.1877115372422135,0.0
user_786685,user,0.711655633709969,0.0
user_254,user,0.1057944945412327,0.0
user_393469,user,0.1266117782108509,0.0
user_131325,user,0.2600836469196013,0.0
user_131330,user,0.1382352114713235,0.0
user_393477,user,0.1641509947279933,0.0
user_131336,user,0.1312500166413125,0.0
user_917772,user,0.4455963963491529,0.0
user_917773,user,0.3866979835301244,0.0
user_786704,user,0.7301081361717274,1.0
user_273,user,0.1572555633899436,0.0
user_786706,user,0.1277307277087505,0.0
user_393493,user,0.5249788604875205,0.0
user_524570,user,0.1858495692519449,0.0
user_917786,user,0.3591506453684749,0.0
user_524572,user,0.7614862811542951,1.0
user_917791,user,0.2844543491444898,0.0
user_655649,user,0.6597097005749103,0.0
user_917793,user,0.6698562290016336,0.0
