user_id,true_label,risk_score,predicted_blacklist,risk_level,predicted_label_new,risk_level_new
941632,1,0.6466883952527368,1,高風險,1,极高风险
959352,1,0.6231531674998835,1,高風險,1,极高风险
221685,1,0.6118077618484666,1,高風險,1,极高风险
581260,1,0.6061098751185278,1,高風險,1,极高风险
931810,1,0.604260989387496,1,高風險,1,极高风险
853672,1,0.6024005097505041,1,高風險,1,极高风险
121953,1,0.594334715291356,1,中風險,1,极高风险
799006,1,0.5933768420724139,1,中風險,1,极高风险
820479,1,0.589464723850342,1,中風險,1,极高风险
866034,1,0.5859761262653581,1,中風險,1,极高风险
923714,1,0.5856195058358283,1,中風險,1,极高风险
563741,1,0.5811611889070968,1,中風險,1,极高风险
86950,1,0.577858408187922,1,中風險,1,极高风险
89895,1,0.5755767995836263,1,中風險,1,极高风险
855096,1,0.5637302597543443,1,中風險,1,极高风险
182211,1,0.5574459265792734,1,中風險,1,极高风险
511744,1,0.5545037796663913,1,中風險,1,极高风险
520841,1,0.5483608092365403,1,中風險,1,极高风险
817494,1,0.5474581326158053,1,中風險,1,极高风险
756928,1,0.5442536533048501,1,中風險,1,极高风险
476372,1,0.5381186130787118,1,中風險,1,极高风险
853129,0,0.5340676498849176,1,中風險,1,极高风险
974655,0,0.5334383586787915,1,中風險,1,极高风险
827612,1,0.531825837424004,1,中風險,1,极高风险
432770,1,0.5268970924689939,1,中風險,1,极高风险
120757,1,0.5203033050530462,1,中風險,1,极高风险
788508,1,0.5101536818075606,1,中風險,1,极高风险
943056,1,0.5078976983967908,1,中風險,1,极高风险
894716,1,0.5070510826196037,1,中風險,1,极高风险
933357,1,0.5056196747703298,1,中風險,1,极高风险
958517,1,0.5009513739944708,1,中風險,1,极高风险
433616,1,0.5008348655377793,1,中風險,1,极高风险
932164,0,0.4996642064584642,1,中風險,1,极高风险
925426,1,0.4993045999171351,1,中風險,1,极高风险
959886,1,0.4984983064943211,1,中風險,1,极高风险
976870,0,0.4977450803326697,1,中風險,1,极高风险
906374,0,0.4972260588772344,1,中風險,1,极高风险
937622,1,0.4967637906024852,1,中風險,1,极高风险
888078,1,0.4967165835254172,1,中風險,1,极高风险
138787,1,0.4965378929233364,1,中風險,1,极高风险
973323,1,0.4960686413553483,1,中風險,1,极高风险
903478,0,0.4947480749270028,1,中風險,1,极高风险
969302,1,0.493258658477448,1,中風險,1,极高风险
963086,0,0.4922867408273592,1,中風險,1,极高风险
664631,1,0.4876337224021779,1,中風險,1,极高风险
923396,1,0.4872657948120903,1,中風險,1,极高风险
254527,1,0.4857346871937868,1,中風險,1,极高风险
635977,1,0.4848386390673771,1,中風險,1,极高风险
907611,1,0.4822239304543362,1,中風險,1,极高风险
24070,1,0.4821373627555534,1,中風險,1,极高风险
967568,0,0.4806061857941312,1,中風險,1,极高风险
982712,1,0.4801447741977646,1,中風險,1,极高风险
900238,1,0.477470318597461,1,中風險,1,极高风险
895819,1,0.4774084871101716,1,中風險,1,极高风险
959084,1,0.4768948385407944,1,中風險,1,极高风险
404798,1,0.476750918154186,1,中風險,1,极高风险
954982,0,0.4750059488902,1,中風險,1,极高风险
868058,1,0.4740311126775856,1,中風險,1,极高风险
966320,1,0.4737519588734391,1,中風險,1,极高风险
909637,1,0.4737401189565007,1,中風險,1,极高风险
857189,1,0.4716118280194014,1,中風險,1,极高风险
824534,0,0.4715765343070862,1,中風險,1,极高风险
110377,1,0.4714244275747544,1,中風險,1,极高风险
555058,1,0.4709920040686191,1,中風險,1,极高风险
912005,1,0.4706296461005617,1,中風險,1,极高风险
794419,1,0.4690564109400543,1,中風險,1,极高风险
930123,1,0.4683708598735572,1,中風險,1,极高风险
980183,0,0.467291073525081,1,中風險,1,极高风险
173957,1,0.4651696022418989,1,中風險,1,极高风险
899039,0,0.4646650060339321,1,中風險,1,极高风险
185315,0,0.4631992267924364,1,中風險,1,极高风险
822817,1,0.4623527241805077,1,中風險,1,极高风险
699297,1,0.4603086096623407,1,中風險,1,极高风险
906272,1,0.4563139630081441,1,中風險,1,极高风险
872438,0,0.4545321354618908,1,中風險,1,极高风险
964980,0,0.4540228581513381,1,中風險,1,极高风险
461906,1,0.4534592107240644,1,中風險,1,极高风险
845779,0,0.4526794676279833,1,中風險,1,极高风险
944241,0,0.4521343202021153,1,中風險,1,极高风险
598391,1,0.4519734343156567,1,中風險,1,极高风险
966873,0,0.4514369217856739,1,中風險,1,极高风险
954465,1,0.451074375643445,1,中風險,1,极高风险
965382,1,0.4510149640002168,1,中風險,1,极高风险
450279,0,0.450700700279028,1,中風險,1,极高风险
