user_id,risk_score
961467,0.871322694
957750,0.869003653
883793,0.866185672
58579,0.864813075
551413,0.861473273
794179,0.859742326
989100,0.855775601
935044,0.85526432
404505,0.853635013
991443,0.852197966
967676,0.851811518
968135,0.851206768
914344,0.851179738
821147,0.850742083
997440,0.849276293
939787,0.848868982
858850,0.848701199
967928,0.848287938
827337,0.848079183
972279,0.846935462
899322,0.846909716
969197,0.838968614
623690,0.836035469
990101,0.834764367
928423,0.833750751
927965,0.832538598
867652,0.83101788
802669,0.828624395
893527,0.823253676
618672,0.823164042
47341,0.821683538
911798,0.820955703
995733,0.814709579
954827,0.810386106
192585,0.804614254
979277,0.802683076
808105,0.798523906
855555,0.797980268
993424,0.795804059
964396,0.793902799
645435,0.789891098
964327,0.788770674
707375,0.785207886
951322,0.78518446
927795,0.779555583
69765,0.778414778
978404,0.778399065
893362,0.778172175
900403,0.778100518
968610,0.777126711
999673,0.776487626
976771,0.776432808
810349,0.770497295
977335,0.769143743
992588,0.767012887
284753,0.765990315
861350,0.762168196
903231,0.760944573
618623,0.75870928
929789,0.756003726
590733,0.753613728
872077,0.752355157
941218,0.751060618
384717,0.745451909
806460,0.739154679
979312,0.7297041
652603,0.729623742
942792,0.724568032
968178,0.711660023
990553,0.710463744
991230,0.707555416
961213,0.703196987
610228,0.698864429
952788,0.697959429
195217,0.690031967
961808,0.688715995
982473,0.669916645
936625,0.665720946
754225,0.663989667
728823,0.659367633
944308,0.654592487
898660,0.653406296
40892,0.652465812
878883,0.648680227
970320,0.647150455
20323,0.641884904
923960,0.628565247
332608,0.612297805
982315,0.611541544
995015,0.609619094
905969,0.606691505
281129,0.596793595
667209,0.592475693
777392,0.592335187
82335,0.590757794
996146,0.590617985
932811,0.588855011
122427,0.574916641
954696,0.568415845
896573,0.560454076
995873,0.556581814
607182,0.547215536
897836,0.536694882
901283,0.536271756
13961,0.530253234
392024,0.530076399
966419,0.525352268
855098,0.52468899
974477,0.524082873
118996,0.521685702
1000008,0.520294185
577274,0.511294421
281406,0.49922914
754882,0.495085369
147310,0.486331322
194816,0.485952781
977702,0.485498542
918351,0.481915402
733390,0.474063672
388032,0.462863127
937287,0.458600651
985161,0.457112118
190300,0.448730248
754994,0.448132044
930258,0.442923705
594839,0.436999802
243467,0.432445844
940495,0.431770315
990092,0.426477592
329096,0.416812445
998442,0.416549035
819235,0.404258575
889774,0.403555724
324394,0.398464695
928750,0.392754109
578732,0.391545554
947858,0.389229586
919708,0.386252883
939434,0.385572104
582280,0.384753155
224828,0.381879449
563233,0.381545303
905696,0.380080735
362176,0.37257633
226398,0.372415585
885330,0.365514784
886658,0.364390864
928414,0.351217875
537879,0.344594706
599452,0.340078083
912683,0.339279992
80792,0.335714443
609523,0.326824911
139688,0.326557208
898969,0.326298376
999712,0.309646734
580061,0.299651897
987346,0.29706893
657950,0.295522375
574831,0.295300136
71797,0.292668623
898018,0.290571681
386123,0.285442197
383036,0.284676779
761504,0.28425135
232087,0.283478582
62985,0.270344739
400913,0.268144744
135536,0.26475507
539170,0.264516528
309328,0.263037393
897796,0.257580677
930260,0.252651418
596152,0.252262387
785566,0.250023741
722401,0.244031874
434300,0.237407581
973113,0.234583828
922659,0.232795235
286878,0.213109869
748471,0.205927963
992085,0.202914468
313523,0.202803375
198245,0.198618134
147261,0.197676918
894976,0.197377459
623885,0.195204967
300025,0.193079691
743653,0.192784125
582898,0.179501414
861115,0.179324687
983298,0.177992538
65833,0.174821334
730926,0.172201861
558997,0.170774674
177734,0.169483496
110317,0.166503841
511328,0.164214817
59888,0.157570156
588597,0.15574625
756889,0.154375058
775960,0.130501031
102606,0.117287982
