user_id,true_label,risk_score,predicted_blacklist,risk_level
988632,1,0.57894737,1,中風險
973622,1,0.57894737,1,中風險
989898,1,0.57894737,1,中風險
988234,1,0.57894737,1,中風險
874894,1,0.57894737,1,中風險
972570,1,0.57894737,1,中風險
962709,0,0.57894737,1,中風險
933119,1,0.57894737,1,中風險
814599,1,0.57894737,1,中風險
963193,0,0.57894737,1,中風險
938216,1,0.57894737,1,中風險
991509,1,0.57894737,1,中風險
972854,1,0.57894737,1,中風險
743818,1,0.57894737,1,中風險
959205,1,0.57894737,1,中風險
914376,1,0.57894737,1,中風險
969037,0,0.57894737,1,中風險
849786,0,0.57894737,1,中風險
996735,1,0.57894737,1,中風險
965613,1,0.57894737,1,中風險
953953,1,0.57894737,1,中風險
713471,1,0.57894737,1,中風險
991187,1,0.57894737,1,中風險
963369,0,0.40616247,1,中風險
978469,1,0.40616247,1,中風險
853129,0,0.40616247,1,中風險
1000426,1,0.40616247,1,中風險
965068,1,0.40616247,1,中風險
995573,1,0.40616247,1,中風險
555058,1,0.40616247,1,中風險
781399,0,0.40616247,1,中風險
975920,1,0.40616247,1,中風險
930123,1,0.40616247,1,中風險
930619,0,0.40616247,1,中風險
963218,1,0.40616247,1,中風險
991232,0,0.40616247,1,中風險
964968,1,0.40616247,1,中風險
768510,1,0.40616247,1,中風險
957951,1,0.40616247,1,中風險
930172,1,0.40616247,1,中風險
976638,1,0.40616247,1,中風險
963200,1,0.40616247,1,中風險
983774,0,0.40616247,1,中風險
511744,1,0.40616247,1,中風險
962606,0,0.40616247,1,中風險
985103,1,0.40616247,1,中風險
968590,1,0.40616247,1,中風險
985377,0,0.40616247,1,中風險
923266,1,0.40616247,1,中風險
930475,0,0.40616247,1,中風險
969955,0,0.40616247,1,中風險
952650,0,0.40616247,1,中風險
995174,1,0.40616247,1,中風險
598391,1,0.40616247,1,中風險
967568,0,0.40616247,1,中風險
967153,0,0.40616247,1,中風險
976883,0,0.40616247,1,中風險
953673,1,0.40616247,1,中風險
967121,1,0.40616247,1,中風險
965250,0,0.40616247,1,中風險
966993,1,0.40616247,1,中風險
929944,0,0.40616247,1,中風險
969979,1,0.40616247,1,中風險
982631,1,0.40616247,1,中風險
832698,0,0.40616247,1,中風險
975422,1,0.40616247,1,中風險
963610,1,0.40616247,1,中風險
890359,0,0.40616247,1,中風險
532385,1,0.40616247,1,中風險
991138,0,0.40616247,1,中風險
907611,1,0.40616247,1,中風險
986519,1,0.40616247,1,中風險
908747,0,0.40616247,1,中風險
931407,0,0.40616247,1,中風險
955594,0,0.40616247,1,中風險
944117,1,0.40616247,1,中風險
995664,1,0.40616247,1,中風險
926997,0,0.40616247,1,中風險
979188,1,0.40616247,1,中風險
945875,1,0.40616247,1,中風險
982489,0,0.40616247,1,中風險
979056,1,0.40616247,1,中風險
960074,0,0.40616247,1,中風險
772801,1,0.40616247,1,中風險
996704,0,0.40616247,1,中風險
974993,1,0.40616247,1,中風險
995902,1,0.40616247,1,中風險
995754,1,0.40616247,1,中風險
931654,0,0.40616247,1,中風險
715787,0,0.40616247,1,中風險
959084,1,0.40616247,1,中風險
978336,0,0.40616247,1,中風險
926228,0,0.40616247,1,中風險
949693,0,0.40616247,1,中風險
950135,0,0.40616247,1,中風險
889196,1,0.40616247,1,中風險
993520,1,0.40616247,1,中風險
976466,0,0.40616247,1,中風險
920129,1,0.40616247,1,中風險
976223,0,0.40616247,1,中風險
719780,1,0.40616247,1,中風險
951856,1,0.40616247,1,中風險
778016,1,0.40616247,1,中風險
932477,1,0.40616247,1,中風險
961800,1,0.40616247,1,中風險
934187,1,0.40616247,1,中風險
962200,1,0.40616247,1,中風險
906374,0,0.40616247,1,中風險
824534,0,0.40616247,1,中風險
911904,0,0.40616247,1,中風險
980138,1,0.40616247,1,中風險
954803,1,0.40616247,1,中風險
996652,1,0.40616247,1,中風險
962157,0,0.40616247,1,中風險
709014,0,0.40616247,1,中風險
996815,1,0.40616247,1,中風險
861481,1,0.40616247,1,中風險
983629,0,0.40616247,1,中風險
953954,0,0.40616247,1,中風險
976682,0,0.40616247,1,中風險
980468,0,0.40616247,1,中風險
941632,1,0.40616247,1,中風險
957859,0,0.40616247,1,中風險
914624,0,0.40616247,1,中風險
875906,1,0.40616247,1,中風險
957011,1,0.40616247,1,中風險
625186,1,0.40616247,1,中風險
367838,1,0.40616247,1,中風險
965201,1,0.40616247,1,中風險
959352,1,0.40616247,1,中風險
954324,1,0.40616247,1,中風險
899375,0,0.40616247,1,中風險
891958,1,0.40616247,1,中風險
971183,1,0.40616247,1,中風險
952328,1,0.40616247,1,中風險
635955,0,0.40616247,1,中風險
980549,1,0.40616247,1,中風險
990136,1,0.40616247,1,中風險
991259,0,0.40616247,1,中風險
938005,1,0.40616247,1,中風險
970933,0,0.40616247,1,中風險
889010,1,0.40616247,1,中風險
970606,1,0.40616247,1,中風險
895819,1,0.40616247,1,中風險
895526,0,0.40616247,1,中風險
886790,1,0.40616247,1,中風險
875994,1,0.40616247,1,中風險
640311,1,0.40616247,1,中風險
991715,1,0.40616247,1,中風險
988225,0,0.40616247,1,中風險
930013,1,0.40616247,1,中風險
577223,0,0.40616247,1,中風險
981642,1,0.40616247,1,中風險
937403,0,0.40616247,1,中風險
981609,1,0.40616247,1,中風險
992417,0,0.40616247,1,中風險
992382,1,0.40616247,1,中風險
981245,1,0.40616247,1,中風險
696751,0,0.40616247,1,中風險
892607,0,0.40616247,1,中風險
971610,0,0.40616247,1,中風險
970352,1,0.40616247,1,中風險
722845,1,0.40616247,1,中風險
986520,1,0.40616247,1,中風險
979359,0,0.40616247,1,中風險
875280,1,0.40616247,1,中風險
943056,1,0.40616247,1,中風險
973267,1,0.40616247,1,中風險
906784,0,0.40616247,1,中風險
843237,1,0.40616247,1,中風險
975767,0,0.40616247,1,中風險
976222,1,0.40616247,1,中風險
885698,1,0.40616247,1,中風險
995828,1,0.40616247,1,中風險
912874,0,0.40616247,1,中風險
753062,1,0.40616247,1,中風險
908074,0,0.40616247,1,中風險
988994,1,0.40616247,1,中風險
887573,1,0.40616247,1,中風險
940083,0,0.40616247,1,中風險
831228,1,0.40616247,1,中風險
972630,1,0.40616247,1,中風險
989078,1,0.40616247,1,中風險
881427,1,0.40616247,1,中風險
888423,1,0.40616247,1,中風險
319029,0,0.40616247,1,中風險
885743,1,0.40616247,1,中風險
972717,0,0.40616247,1,中風險
951036,0,0.40616247,1,中風險
938708,0,0.40616247,1,中風險
920052,1,0.40616247,1,中風險
991969,0,0.40616247,1,中風險
905734,0,0.40616247,1,中風險
927018,0,0.40616247,1,中風險
992875,0,0.40616247,1,中風險
967574,1,0.40616247,1,中風險
841438,0,0.40616247,1,中風險
920263,0,0.40616247,1,中風險
581260,1,0.40616247,1,中風險
967466,0,0.40616247,1,中風險
759134,1,0.40616247,1,中風險
994607,0,0.40616247,1,中風險
345307,0,0.40616247,1,中風險
967342,1,0.40616247,1,中風險
989840,0,0.40616247,1,中風險
991234,1,0.40616247,1,中風險
901588,1,0.40616247,1,中風險
979764,1,0.40616247,1,中風險
973531,1,0.40616247,1,中風險
973323,1,0.40616247,1,中風險
893561,1,0.40616247,1,中風險
221685,1,0.40616247,1,中風險
932164,0,0.40616247,1,中風險
967091,1,0.40616247,1,中風險
862206,1,0.40616247,1,中風險
904710,1,0.40616247,1,中風險
971654,1,0.40616247,1,中風險
343098,1,0.40616247,1,中風險
992155,1,0.40616247,1,中風險
974198,1,0.40616247,1,中風險
967584,1,0.40616247,1,中風險
931810,1,0.40616247,1,中風險
886397,1,0.40616247,1,中風險
973726,0,0.40616247,1,中風險
918285,1,0.40616247,1,中風險
972002,0,0.40616247,1,中風險
974313,1,0.40616247,1,中風險
931865,1,0.40616247,1,中風險
864458,1,0.40616247,1,中風險
922908,1,0.40616247,1,中風險
986824,0,0.40616247,1,中風險
997678,0,0.40616247,1,中風險
855096,1,0.40616247,1,中風險
978156,0,0.40616247,1,中風險
884785,0,0.40616247,1,中風險
997515,0,0.40616247,1,中風險
987559,1,0.40616247,1,中風險
963359,1,0.40616247,1,中風險
996793,0,0.40616247,1,中風險
896883,0,0.40616247,1,中風險
730795,0,0.40616247,1,中風險
974655,0,0.40616247,1,中風險
894716,1,0.40616247,1,中風險
988910,1,0.40616247,1,中風險
898185,0,0.40616247,1,中風險
58796,1,0.40616247,1,中風險
788508,1,0.40616247,1,中風險
968705,1,0.40616247,1,中風險
990011,1,0.40616247,1,中風險
403145,1,0.40616247,1,中風險
873428,0,0.40616247,1,中風險
942631,1,0.40616247,1,中風險
928088,0,0.40616247,1,中風險
948504,1,0.40616247,1,中風險
954031,1,0.40616247,1,中風險
966873,0,0.40616247,1,中風險
972756,1,0.40616247,1,中風險
307823,1,0.40616247,1,中風險
749949,0,0.40616247,1,中風險
995268,1,0.40616247,1,中風險
916938,0,0.40616247,1,中風險
945391,0,0.40616247,1,中風險
974877,0,0.40616247,1,中風險
967138,1,0.40616247,1,中風險
966827,1,0.40616247,1,中風險
998131,1,0.40616247,1,中風險
971131,1,0.40616247,1,中風險
918843,1,0.40616247,1,中風險
935683,0,0.40616247,1,中風險
972797,1,0.40616247,1,中風險
970172,0,0.40616247,1,中風險
984691,1,0.40616247,1,中風險
969972,0,0.40616247,1,中風險
938191,1,0.40616247,1,中風險
976669,0,0.40616247,1,中風險
950844,0,0.40616247,1,中風險
967822,0,0.40616247,1,中風險
951117,1,0.40616247,1,中風險
970958,1,0.40616247,1,中風險
865771,1,0.40616247,1,中風險
979681,0,0.40616247,1,中風險
974880,0,0.40616247,1,中風險
979061,1,0.40616247,1,中風險
127867,1,0.40616247,1,中風險
938100,0,0.40616247,1,中風險
966320,1,0.40616247,1,中風險
990256,1,0.40616247,1,中風險
937806,1,0.40616247,1,中風險
983700,0,0.40616247,1,中風險
703960,1,0.40616247,1,中風險
355650,1,0.40616247,1,中風險
846810,0,0.40616247,1,中風險
827612,1,0.40616247,1,中風險
970009,1,0.40616247,1,中風險
923363,1,0.40616247,1,中風險
970279,1,0.40616247,1,中風險
948506,0,0.40616247,1,中風險
932222,1,0.40616247,1,中風險
948573,0,0.40616247,1,中風險
965023,1,0.40616247,1,中風險
983423,1,0.40616247,1,中風險
992046,1,0.40616247,1,中風險
975235,1,0.40616247,1,中風險
933944,0,0.40616247,1,中風險
950265,0,0.40616247,1,中風險
760547,1,0.40616247,1,中風險
974921,0,0.40616247,1,中風險
976790,0,0.40616247,1,中風險
853204,1,0.40616247,1,中風險
968051,1,0.40616247,1,中風險
939508,1,0.40616247,1,中風險
912130,0,0.40616247,1,中風險
971971,1,0.40616247,1,中風險
990057,0,0.40616247,1,中風險
945471,1,0.40616247,1,中風險
817494,1,0.40616247,1,中風險
969388,0,0.40616247,1,中風險
976292,0,0.40616247,1,中風險
969302,1,0.40616247,1,中風險
976520,0,0.40616247,1,中風險
953959,1,0.40616247,1,中風險
960956,1,0.40616247,1,中風險
911404,0,0.40616247,1,中風險
919848,1,0.40616247,1,中風險
948606,1,0.40616247,1,中風險
957886,1,0.40616247,1,中風險
822817,1,0.40616247,1,中風險
961339,0,0.40616247,1,中風險
949217,1,0.40616247,1,中風險
937622,1,0.40616247,1,中風險
989196,0,0.40616247,1,中風險
937580,0,0.40616247,1,中風險
981417,0,0.40616247,1,中風險
961551,1,0.40616247,1,中風險
955704,1,0.40616247,1,中風險
987393,1,0.40616247,1,中風險
991378,1,0.40616247,1,中風險
991445,0,0.40616247,1,中風險
953261,0,0.40616247,1,中風險
964734,0,0.40616247,1,中風險
757605,1,0.40616247,1,中風險
967725,0,0.40616247,1,中風險
967670,0,0.40616247,1,中風險
959241,0,0.40616247,1,中風險
932136,1,0.40616247,1,中風險
968993,0,0.40616247,1,中風險
750339,0,0.40616247,1,中風險
978191,1,0.40616247,1,中風險
972362,1,0.40616247,1,中風險
969331,1,0.40616247,1,中風險
931491,1,0.40616247,1,中風險
866034,1,0.40616247,1,中風險
970258,0,0.40616247,1,中風險
946229,0,0.40616247,1,中風險
964359,1,0.40616247,1,中風險
981734,1,0.40616247,1,中風險
998156,1,0.40616247,1,中風險
963851,1,0.40616247,1,中風險
