user_idx,true_label,similarity_score,closest_cluster,svm_score,iso_score,knn_similarity,predicted_label
7559,1,0.4889401879067593,1,0.6236825808897167,0.008058060964036247,0.9223883339735142,0
9506,0,0.48825016045676795,1,0.6236836065927405,0.004837420489615317,0.9209929876979913,0
4961,0,0.48768929028888214,1,0.6163362934310581,0.003752039246603848,0.9375220945512744,0
5446,0,0.48628446953749255,1,0.6221551661954803,0.006423616500548503,0.911984468801519,0
9841,0,0.4862081622664573,4,0.564865755832632,0.03699727216727505,0.9868426475318676,0
9349,1,0.48617079436507427,1,0.6184692300309659,0.004386158551601702,0.9262144281349503,0
7121,1,0.486063754536222,4,0.5648933092823298,0.03625448724456407,0.9869965079963491,0
3399,1,0.4860379289441515,4,0.5648214420103028,0.03642223910694875,0.9868412901748157,0
1862,0,0.48592230076268217,4,0.5648218917395806,0.03736350690583647,0.9851280559370638,0
6811,0,0.48585280048547463,4,0.56488530033772,0.03707164780895649,0.9850015577916651,0
5044,1,0.48584253646284814,1,0.6196246750059689,0.008534979560468886,0.9142176793820123,0
8367,0,0.4857549784516192,4,0.5682022173748926,0.05553001126418877,0.9603961108866419,0
7973,0,0.4856322169698179,4,0.5633335767370062,0.048057996768282624,0.9764701312463494,0
1492,1,0.4855657499850813,1,0.6316733456924184,0.010533639783395405,0.8929393381710485,0
3046,0,0.4851447058053844,4,0.565181335252267,0.03827902566473186,0.9808471298662716,0
1455,0,0.4851427199253835,4,0.5639793608521018,0.03625448724456407,0.9850221080455895,0
3628,0,0.48501045248723906,4,0.5625978010701892,0.04263907985195173,0.9808453811389264,0
2872,0,0.4849222211927602,4,0.5660561362945948,0.03820020652451594,0.978397187492098,0
6358,1,0.4847651174920684,1,0.6206178038258444,0.010390808412213482,0.9163105453466006,0
1619,0,0.48459915003927134,4,0.5645231051776175,0.03811086915990645,0.9804147234642311,0
9202,0,0.4845736808833782,4,0.5651553619442506,0.03625448724456407,0.9808892589145326,0
1452,0,0.48450901383863376,4,0.565828359898122,0.03625448724456407,0.9791006747184305,0
5251,0,0.4843822886532223,4,0.5673339101499065,0.03980073843731945,0.9707303368066622,0
492,0,0.4843683955327762,4,0.5633524123935331,0.035497717101163895,0.9838714379509463,0
9968,1,0.4840965966183232,1,0.6190501024948777,0.006049135619413913,0.914312835370092,0
4048,0,0.48383453347876115,4,0.5628729697296766,0.0432805858556563,0.9762246687956289,0
1779,0,0.4838040622606976,4,0.5625152892124395,0.035497717101163895,0.9834354297800355,0
6902,0,0.48377608730315447,4,0.5632403128157348,0.040202840945703075,0.9772541050923582,0
8592,0,0.4837755056974732,4,0.5638152195564207,0.0376442389818674,0.9783403577345308,0
2316,0,0.48376799460766007,4,0.5678516582679,0.03814576013571495,0.9692252882592031,0
7072,0,0.4836996758891655,4,0.5637117912510144,0.035497717101163895,0.9801733112832454,0
2505,0,0.4836621125893411,4,0.5625653427430187,0.03834142502605426,0.9799670974614529,0
1660,0,0.4835490918115112,4,0.5630976328596432,0.03625448724456407,0.9811971557558089,0
2385,0,0.4834917691568651,1,0.6216305214466937,0.00751094243317864,0.9097712269689228,0
4545,1,0.4834799848807466,1,0.6175485647067529,0.009566965392880475,0.9148537995665531,0
6655,0,0.48346336948865953,4,0.5634056789315688,0.03730533254525424,0.9783176277769229,0
9583,0,0.48344968573355407,4,0.5627007077877356,0.03822018490617936,0.9793733284685691,0
8756,0,0.48343816123282163,4,0.5642553171405362,0.035621366080757305,0.9776825293889531,0
1573,1,0.4834290386991411,1,0.6222913771905638,0.008144770659491863,0.9064315058751963,0
2656,0,0.48336913012286964,4,0.5679784643513426,0.037884815143302206,0.9675958300893921,0
2915,0,0.48333431135802607,4,0.5683694045412842,0.03948364369533583,0.9652486275024533,0
9039,0,0.48329222836708363,1,0.6237103203967661,0.005660447466799365,0.8973936715869366,0
8591,0,0.48319966129855535,4,0.5631434526248148,0.03798681986944286,0.9778454053106355,0
2744,0,0.4831801093452437,4,0.5622054685647392,0.03747622081369218,0.980038306955399,0
9109,0,0.48311590117384196,4,0.5638411002565822,0.03532726746135642,0.9776949305272377,0
8843,0,0.4831011957146228,4,0.5614996839264061,0.03619289834925668,0.9823318697682369,0
7583,0,0.4830573349851615,4,0.5667156290198833,0.0375110830858791,0.9688297877454476,0
5519,0,0.48297841459522417,4,0.5650831955857175,0.03674261573799434,0.9727980536207966,0
3971,1,0.4829719814071324,4,0.5650710540485254,0.03699727216727505,0.9745811516792565,0
5496,0,0.48294745380930615,4,0.5640095537300347,0.035450889028323766,0.97638456327945,0
1628,0,0.4828554269726583,4,0.5657918755628012,0.03642223910694875,0.973013271134351,0
814,0,0.4828497633399373,4,0.5630360844427005,0.041082568142448504,0.9772091042276779,0
4162,0,0.4827872677053361,4,0.5648310495290647,0.03768487217129172,0.9719533789460473,0
1800,0,0.48278502485459546,4,0.5628513601498087,0.03811086915990645,0.9767785707953516,0
6912,0,0.48270940879870566,4,0.5617410793393237,0.03626719632931861,0.9801203951499641,0
4724,0,0.48246640738538804,1,0.61426257502358,0.004925988171888152,0.9172986226431528,0
6130,0,0.48245259893814985,4,0.5624006519319883,0.03807929446702174,0.9763407201653647,0
3443,0,0.4824400573492885,4,0.5668041038765081,0.03754225791690398,0.9687073562264876,0
9013,0,0.48242280864776954,4,0.5657661504893241,0.03668029329326153,0.9718586021154978,0
8838,0,0.48233219592020293,4,0.5653292808929617,0.03655647403869329,0.9725977789171041,0
5135,0,0.4823128167051455,4,0.5622254121829259,0.03528311365455697,0.9786067052000194,0
10109,0,0.48214088924878695,4,0.5612083862901667,0.035450889028323766,0.9798651404160377,0
9255,0,0.4821377337944329,4,0.5644461255818183,0.03822018490617936,0.9703001490377013,0
4271,0,0.4821341090988235,4,0.5604293742797076,0.03576473338328436,0.9816364385100612,0
8365,1,0.4821194381524328,1,0.6219555281126222,0.01014993017792959,0.907661542544871,0
8781,0,0.48211085199278914,4,0.5618005310796531,0.03713715247233376,0.9772021065174389,0
