user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_smurf_flag,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,crypto_wit_ip_ratio,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,if_score,hbos_score,lof_score,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15
990983,,0.1464256942272186,,,,,,,,,,-0.108382411301136,0.1805371195077896,,-0.1233088076114655,,,,,,,,,,,,,0.3216532766819,,0.1622658967971802,,,,,,,,,,,0.1154475137591362,0.6238458156585693,,,,,,,,,-0.3698717951774597,,,,,,,,,,0.1078392192721367,,,,,,,,,,,,,,,,,,,,,
934305,,0.1795654296875,,,,,,,,,,-0.12623630464077,0.1486405432224274,,,,,,,,,,,,,,,0.3309058547019958,,0.1573160141706467,,,,,,,,,,,,0.604775607585907,,-0.2510386109352112,,,,,,,,,,,,,,0.1694702208042145,,,0.1792212277650833,,,,,,,,,,,,,,,,,,,,,-0.1693542003631592
991969,-0.2030236423015594,0.1767530590295792,,,,-0.3917545080184937,,,,,,,0.1843789964914322,,,,,,,,,,,,,,,0.3854135870933533,,0.1748087257146835,,,,,,,,,,,0.1147915124893188,0.610234797000885,,,,,,,,,,,,,,,,0.1726028025150299,,,-0.228255107998848,,,,,,,,,,,,,,,,,,,,,
986502,-0.1908712685108185,,,,,,,,,,,0.1599969565868378,0.2437365055084229,,,,,,,,,,,,,,,0.4665806293487549,,0.2208977788686752,,,,,,,,,-0.1127756237983704,,,-0.1423011422157288,,,,,,,0.1307189166545868,,,,,,,,,0.1301928162574768,,,0.1654101461172104,,,,,,,,,,,,,,,,,,,,,
905454,,0.1484717130661011,,,,,,,,,,,,,,,,,,0.1641036868095398,,,,0.09917759895324707,,,,,,,,,,,,,,,,,,-0.1056494638323784,0.3896604776382446,,0.1671652644872665,,,,,,-0.2582812011241913,,,,,,,-0.0894630178809166,,-0.07761245965957642,-0.2232648283243179,,,,,,,,,,,,,,,,,,,,,
787879,,,,,,,,,,0.08210999518632889,,,,,,,,,,0.1674221009016037,,,,0.1019286513328552,0.1119521856307983,0.09901302307844162,,,,,,,,,,,,,,,,-0.1054218038916588,0.3995210230350494,,0.167798176407814,,,,,,,,,,,,,,,,-0.1914318948984146,,,,,-0.116025298833847,,,,,,,,,,,,,,,,
969259,,0.2689631283283234,,,,-0.2852160036563873,,,,,,,0.1732421368360519,,,,,,,,,,,,,,,0.4418887794017792,,0.2246256619691849,,,,,,,,,,,,,,0.1338961124420166,,,,,,,-0.1633173078298569,,,,,,,0.1740969866514206,,,0.1452027708292007,,,,,-0.1217155531048775,,,,,,,,,,,,,,,,
888225,,,,,,,-0.266247570514679,,,,,,,,,,,,,,,,,0.1501751989126205,,,,0.4695411920547485,,0.1485569179058075,,,,,0.1975983083248138,,,,,,,,,,,,,,0.1601056009531021,-0.1937908679246902,,,,,,,,,,,0.1898693144321442,,,,,,,,-0.1477930396795273,,,,,,,-0.1702596843242645,,,,,,
989877,-0.1616919487714767,0.1573633849620819,,,,,,,,,,-0.1540629714727402,0.1781807839870453,,,,,,,,,,,,,,,0.3491012752056122,,0.164984717965126,,,,,,,,,,,,0.6523240804672241,,,,,,,,,-0.169461265206337,,,,,,,0.1707845628261566,,,-0.1346502751111984,,,,,,,,,,,,,,,,,,,,,
975379,,0.176422581076622,,,,,,,,,,,0.1372772008180618,,0.1043853536248207,,,,,,,,,,,,,0.2239602357149124,,,,,,,,,,,,,0.1309984624385834,0.61572265625,,,,,,,,,,,,,,,,-0.2909259498119354,-0.1764382869005203,0.1502741724252701,0.2109627425670624,,,,,,,,,,,,,,,,,,,,,
