id,user_id,created_at,kind,twd_samount,currency_samount
1,1284,2025-10-24T17:11:21,1,37000000000,1203668355
2,1466,2025-10-24T18:53:28,0,317600000000,10224793501
3,1667,2025-10-24T11:55:46,0,101000000000,3248542305
4,5995,2025-10-24T18:19:52,0,63000000000,2027890120
5,13617,2025-10-24T02:50:20,0,100500000000,3232147290
6,15616,2025-10-24T12:03:02,0,201200000000,6471562564
7,16974,2025-10-24T14:37:50,0,3000000000000,96491355596
8,16974,2025-10-24T16:09:09,1,156100000000,5072020746
9,20058,2025-10-24T18:23:12,0,1500000000000,48278417384
10,21207,2025-10-24T13:21:05,0,60000000000,1930076419
11,31757,2025-10-24T18:26:30,0,300000000000,9655683476
12,36837,2025-10-24T02:43:11,1,11600000000,379728863
13,42690,2025-10-24T10:20:21,0,3000000000000,96475176612
14,46334,2025-10-24T21:40:08,0,98500000000,3169975434
15,47861,2025-10-24T22:23:03,0,14996000000000,482593052668
16,53082,2025-10-24T15:43:55,0,6500000000000,209118627399
17,53949,2025-10-24T19:04:41,0,427400000000,13760132241
18,59523,2025-10-24T10:51:16,0,614000000000,19749839653
19,66060,2025-10-24T22:42:36,0,900000000000,28955822166
20,69739,2025-10-24T23:11:23,0,1800000000000,57930356897
21,82335,2025-10-24T03:03:32,1,1873100000000,60800000000
22,96484,2025-10-24T07:58:43,0,5000000000000,160855286862
23,100859,2025-10-24T01:43:05,0,311000000000,10000676573
24,102555,2025-10-24T16:27:52,1,206000000000,6691334100
25,102583,2025-10-24T22:31:30,0,100000000000,3217313574
26,107375,2025-10-24T00:51:59,0,100000000000,3216066955
27,108383,2025-10-24T01:45:34,0,10000000000000,321565163122
28,110233,2025-10-24T17:39:00,0,997100000000,32081709346
29,110832,2025-10-24T19:02:00,0,105000000000,3380472356
30,113953,2025-10-24T01:23:56,1,678000000000,22000403632
31,114573,2025-10-24T22:22:40,0,100000000000,3218145189
32,127353,2025-10-24T02:15:01,0,310000000000,9968841902
33,127353,2025-10-24T03:52:58,0,250000000000,8040167389
34,127353,2025-10-24T04:46:12,0,260000000000,8361774085
35,127353,2025-10-24T04:51:47,0,300000000000,9648200867
36,127867,2025-10-24T19:30:09,0,7300000000000,234932189558
37,131752,2025-10-24T19:58:56,1,924000000000,30000000000
38,131752,2025-10-24T20:00:18,0,924000000000,29735661554
39,134434,2025-10-24T01:05:21,0,100000000000,3215340208
40,134874,2025-10-24T21:22:17,0,3000000000000,96550594828
41,135127,2025-10-24T15:38:41,0,1100000000000,35389306175
42,135292,2025-10-24T09:44:03,1,12323000000000,399900000000
43,139208,2025-10-24T17:43:45,1,403200000000,13096607456
44,140656,2025-10-24T03:10:01,0,130000000000,4180887042
45,140656,2025-10-24T03:33:28,0,350000000000,11256234345
46,140656,2025-10-24T05:10:09,1,994200000000,32267143895
47,140656,2025-10-24T06:31:16,0,300000000000,9648200867
48,140656,2025-10-24T07:28:31,0,210000000000,6753740607
49,140656,2025-10-24T07:56:42,0,600000000000,19302634423
50,140656,2025-10-24T08:41:37,0,1000000000000,32160669559
51,140656,2025-10-24T09:38:24,0,1000000000000,32164823879
52,140656,2025-10-24T10:31:25,1,4438200000000,144020069335
53,148495,2025-10-24T12:54:33,1,23411200000000,760000000000
54,156009,2025-10-24T01:58:24,0,200000000000,6431510904
55,159392,2025-10-24T14:26:21,0,300000000000,9651005486
56,161744,2025-10-24T11:11:17,1,921600000000,29900000000
57,163703,2025-10-24T12:32:30,1,299900000000,9734570706
58,163703,2025-10-24T15:20:21,0,300000000000,9651317211
59,163703,2025-10-24T15:22:51,0,49800000000,1602118657
60,164828,2025-10-24T08:26:32,0,10000000000000,321617080388
61,164828,2025-10-24T12:42:55,1,19929300000000,646970946827
62,165113,2025-10-24T15:46:59,0,400000000000,12868422949
63,168088,2025-10-24T12:33:29,0,150000000000,4824567779
64,173821,2025-10-24T08:59:30,0,200000000000,6432133911
65,174325,2025-10-24T11:45:20,1,619500000000,20100000000
66,184373,2025-10-24T16:20:41,0,250000000000,8043024130
67,187292,2025-10-24T03:08:34,0,80200000000,2579285698
68,194575,2025-10-24T00:50:57,0,60000000000,1929640173
69,203568,2025-10-24T00:31:09,0,48000000000,1543712138
70,204112,2025-10-24T09:51:31,0,5796700000000,186449834582
71,205027,2025-10-24T17:11:32,0,800000000000,25739181879
72,216319,2025-10-24T21:54:07,0,163500000000,5261667385
73,216319,2025-10-24T22:25:30,0,98700000000,3176206678
74,216319,2025-10-24T22:35:50,0,498500000000,16037790116
75,219058,2025-10-24T13:21:13,0,200000000000,6433588064
76,224301,2025-10-24T06:56:42,0,1000000000000,32160669559
77,226284,2025-10-24T01:09:42,0,40000000000,1286136083
