user_id,status
930627,1
995754,1
196191,1
892445,1
102606,1
899562,1
729957,1
998442,1
801019,1
982528,1
919389,1
996146,1
995828,1
812973,1
657953,1
958953,1
977631,1
605758,1
976540,1
869009,1
883967,1
979281,1
756928,1
976310,1
954200,1
310804,1
991230,1
898018,1
907025,1
334278,1
74015,1
905969,1
200155,1
986307,1
58796,1
873610,1
943669,1
997840,1
945471,1
941285,1
413361,1
879268,1
157217,1
569641,1
936856,1
384717,1
972756,1
964396,1
226873,1
778582,1
891958,1
933301,1
594389,1
915093,1
270556,1
38093,1
998915,1
923714,1
906060,1
771975,1
264420,1
482303,1
982631,1
675516,1
297090,1
938228,1
957649,1
285884,1
817494,1
983423,1
610005,1
922659,1
68128,1
904468,1
972247,1
729117,1
818425,1
835443,1
948481,1
982315,1
669815,1
985732,1
173721,1
901588,1
891220,1
962662,1
976703,1
749965,1
981245,1
755060,1
990728,1
20323,1
859434,1
967106,1
978169,1
19733,1
58625,1
893362,1
946469,1
819235,1
848039,1
699297,1
980166,1
644390,1
511328,1
775960,1
111067,1
139688,1
484843,1
886652,1
968705,1
716425,1
905688,1
869749,1
551413,1
914376,1
823407,1
767246,1
341431,1
832299,1
752863,1
6317,1
973573,1
866034,1
878580,1
826567,1
53525,1
846307,1
396853,1
956884,1
506128,1
932477,1
358880,1
992588,1
829006,1
855213,1
776564,1
955604,1
226398,1
757605,1
991378,1
607604,1
586073,1
946590,1
961213,1
961800,1
919708,1
974978,1
930123,1
963806,1
567190,1
962200,1
209509,1
977268,1
428173,1
869209,1
614856,1
933981,1
402799,1
838020,1
966320,1
844246,1
811252,1
952328,1
981508,1
989500,1
802853,1
577758,1
855096,1
991443,1
918710,1
951440,1
963359,1
751636,1
778016,1
822817,1
478841,1
838590,1
389217,1
997873,1
982881,1
938005,1
999681,1
812787,1
476372,1
903677,1
908592,1
847180,1
24070,1
973639,1
931865,1
612544,1
818343,1
970606,1
988994,1
815415,1
737633,1
754305,1
957176,1
972303,1
322656,1
977657,1
973262,1
961808,1
8893,1
976569,1
806460,1
485245,1
884073,1
796533,1
986519,1
560084,1
945403,1
963793,1
748471,1
886375,1
977394,1
977932,1
905007,1
951117,1
887573,1
149051,1
995733,1
941145,1
834007,1
974268,1
999893,1
953807,1
844093,1
885330,1
994045,1
993047,1
989071,1
810349,1
963619,1
843237,1
914696,1
965221,1
845870,1
988057,1
966900,1
888423,1
719218,1
940550,1
400913,1
901227,1
754027,1
931494,1
951711,1
976222,1
421980,1
679495,1
740879,1
927965,1
972570,1
537296,1
335818,1
588597,1
999976,1
230995,1
887260,1
938216,1
930260,1
182211,1
888758,1
974359,1
931810,1
942342,1
623109,1
864458,1
335521,1
630950,1
972797,1
979238,1
62985,1
894716,1
874149,1
989159,1
587159,1
334308,1
995902,1
924946,1
929910,1
967091,1
985036,1
935044,1
938191,1
840095,1
820206,1
613514,1
861350,1
984296,1
621460,1
843050,1
46176,1
867449,1
23039,1
722401,1
949072,1
842494,1
962545,1
997836,1
829532,1
13961,1
244262,1
713471,1
919848,1
999898,1
991606,1
831228,1
957886,1
928280,1
543504,1
855985,1
739134,1
210025,1
993956,1
58579,1
979312,1
857189,1
967121,1
29124,1
356564,1
100622,1
969932,1
939787,1
982403,1
914344,1
343657,1
918351,1
954324,1
947918,1
947858,1
876214,1
937075,1
972655,1
973115,1
999846,1
978421,1
630775,1
954934,1
933459,1
991715,1
994251,1
959230,1
974016,1
998156,1
821147,1
960966,1
942936,1
949067,1
86518,1
627300,1
507231,1
960956,1
329096,1
119079,1
798639,1
578732,1
410721,1
934327,1
997051,1
823085,1
823250,1
939778,1
999712,1
762730,1
449904,1
495446,1
812640,1
905427,1
745902,1
79135,1
989233,1
231603,1
944262,1
940954,1
377299,1
650373,1
151678,1
970320,1
978469,1
728854,1
973622,1
923473,1
814599,1
968053,1
815951,1
916400,1
610228,1
878096,1
425934,1
877764,1
895601,1
864438,1
906111,1
575822,1
932811,1
999303,1
905004,1
778476,1
947041,1
977588,1
862206,1
977335,1
987817,1
629071,1
728823,1
754882,1
930172,1
975920,1
999673,1
900238,1
973113,1
978508,1
502943,1
971198,1
769833,1
928901,1
618623,1
558997,1
989180,1
627084,1
528804,1
777392,1
970837,1
965382,1
880268,1
1001834,1
287082,1
990011,1
855805,1
933357,1
830275,1
906272,1
979121,1
607794,1
976638,1
868716,1
800025,1
954696,1
975064,1
979188,1
310016,1
818776,1
971971,1
989100,1
946321,1
197847,1
971156,1
801628,1
889196,1
1000426,1
936440,1
979075,1
808105,1
883793,1
426943,1
968051,1
853672,1
635977,1
447077,1
966419,1
701425,1
950568,1
937806,1
950237,1
968637,1
574322,1
972854,1
1001352,1
828238,1
930419,1
204103,1
920052,1
461906,1
961530,1
411443,1
969287,1
966991,1
814365,1
769674,1
729592,1
862827,1
883364,1
991875,1
954768,1
953253,1
652603,1
981503,1
